Full name,ราคา งานไม้ โซฟา - Answer Customer,Brand,Category,Sub Category 1,Collection Name,Product name english,Wood (ประเภทไม้),Wood Colour (สีไม้),วัสดุหุ้ม (Upholstery Material),สีวัสดุหุ้ม (Upholstery Colour),กว้าง (W),ลึก (D),สูง (H),Size (CM),NNSKU#,Retail Price include VAT,PercentDiscount,Discounted price  IncludeVAT,PercentOntop,FinalPriceAfterOntopDiscount
Bareo | ศาลเจ้า (ตี่จู่เอี๊ยะ)    ชิน (Chin) ไม้เมเปิ้ล สีธรรมชาติ  | ขนาด W55 D50 H80 cm,Bareo | ศาลเจ้า (ตี่จู่เอี๊ยะ)    ชิน (Chin) ไม้เมเปิ้ล สีธรรมชาติ  | ขนาด W55 D50 H80 cm ราคา 34900 ลด 0% เหลือ 34900 ชำระเป็นเงินสด ลด on top เพิ่ม 10% เหลือ 31410 ภายใน เดือนกันยายน 2569 และส่วนลดเพิ่มเติมตามโปรฯ ได้ที่ https://chawcher.com/category/promotion/,Bareo,ศาลเจ้า (ตี่จู่เอี๊ยะ)  ,,ชิน,(Chin),ไม้เมเปิ้ล,สีธรรมชาติ,,,W55,D50 ,H80,cm,10185219,B 34900.00,0%,B 34900.00,10%,B 31410.00
ฌ เฌอ | 3 ที่นั่ง ไม่มีแขน  ทากะ (Taka Arm Less)   ผ้า A เลือกสีได้ | ขนาด W180 D90 H72 (46) ,ฌ เฌอ | 3 ที่นั่ง ไม่มีแขน  ทากะ (Taka Arm Less)   ผ้า A เลือกสีได้ | ขนาด W180 D90 H72 (46)  ราคา 71550 ลด 30% เหลือ 50085 ชำระเป็นเงินสด ลด on top เพิ่ม 10% เหลือ 45076.5 ภายใน เดือนกันยายน 2569 และส่วนลดเพิ่มเติมตามโปรฯ ได้ที่ https://chawcher.com/category/promotion/,ฌ เฌอ,3 ที่นั่ง ไม่มีแขน,,ทากะ,(Taka Arm Less),,,ผ้า A ,เลือกสีได้,W180,D90,H72 (46),,,B 71550.00,30%,B 50085.00,10%,B 45076.50
ฌ เฌอ | 3 ที่นั่ง ไม่มีแขน  ทากะ (Taka Arm Less)   ผ้า B เลือกสีได้ | ขนาด W180 D90 H72 (46) ,ฌ เฌอ | 3 ที่นั่ง ไม่มีแขน  ทากะ (Taka Arm Less)   ผ้า B เลือกสีได้ | ขนาด W180 D90 H72 (46)  ราคา 80100 ลด 30% เหลือ 56070 ชำระเป็นเงินสด ลด on top เพิ่ม 10% เหลือ 50463 ภายใน เดือนกันยายน 2569 และส่วนลดเพิ่มเติมตามโปรฯ ได้ที่ https://chawcher.com/category/promotion/,ฌ เฌอ,3 ที่นั่ง ไม่มีแขน,,ทากะ,(Taka Arm Less),,,ผ้า B ,เลือกสีได้,W180,D90,H72 (46),,,B 80100.00,30%,B 56070.00,10%,B 50463.00
ฌ เฌอ | 3 ที่นั่ง ไม่มีแขน  ทากะ (Taka Arm Less)   ผ้า C เลือกสีได้ | ขนาด W180 D90 H72 (46) ,ฌ เฌอ | 3 ที่นั่ง ไม่มีแขน  ทากะ (Taka Arm Less)   ผ้า C เลือกสีได้ | ขนาด W180 D90 H72 (46)  ราคา 90900 ลด 30% เหลือ 63630 ชำระเป็นเงินสด ลด on top เพิ่ม 10% เหลือ 57267 ภายใน เดือนกันยายน 2569 และส่วนลดเพิ่มเติมตามโปรฯ ได้ที่ https://chawcher.com/category/promotion/,ฌ เฌอ,3 ที่นั่ง ไม่มีแขน,,ทากะ,(Taka Arm Less),,,ผ้า C ,เลือกสีได้,W180,D90,H72 (46),,,B 90900.00,30%,B 63630.00,10%,B 57267.00
ฌ เฌอ | 3 ที่นั่ง ไม่มีแขน  ทากะ (Taka Arm Less)   หนังแท้ (ออย)เลือกสีได้ | ขนาด W180 D90 H72 (46) ,ฌ เฌอ | 3 ที่นั่ง ไม่มีแขน  ทากะ (Taka Arm Less)   หนังแท้ (ออย)เลือกสีได้ | ขนาด W180 D90 H72 (46)  ราคา 143100 ลด 30% เหลือ 100170 ชำระเป็นเงินสด ลด on top เพิ่ม 10% เหลือ 90153 ภายใน เดือนกันยายน 2569 และส่วนลดเพิ่มเติมตามโปรฯ ได้ที่ https://chawcher.com/category/promotion/,ฌ เฌอ,3 ที่นั่ง ไม่มีแขน,,ทากะ,(Taka Arm Less),,,หนังแท้ (ออย),เลือกสีได้,W180,D90,H72 (46),,,B 143100.00,30%,B 100170.00,10%,B 90153.00
ฌ เฌอ | 3 ที่นั่ง ไม่มีแขน  ทากะ (Taka Arm Less)   หนังแท้เลือกสีได้ | ขนาด W180 D90 H72 (46) ,ฌ เฌอ | 3 ที่นั่ง ไม่มีแขน  ทากะ (Taka Arm Less)   หนังแท้เลือกสีได้ | ขนาด W180 D90 H72 (46)  ราคา 110700 ลด 30% เหลือ 77490 ชำระเป็นเงินสด ลด on top เพิ่ม 10% เหลือ 69741 ภายใน เดือนกันยายน 2569 และส่วนลดเพิ่มเติมตามโปรฯ ได้ที่ https://chawcher.com/category/promotion/,ฌ เฌอ,3 ที่นั่ง ไม่มีแขน,,ทากะ,(Taka Arm Less),,,หนังแท้,เลือกสีได้,W180,D90,H72 (46),,,B 110700.00,30%,B 77490.00,10%,B 69741.00
ฌ เฌอ | Recliner  ฟลามิงโก้ (Flamingo Recliner)   ผ้า A เลือกสีได้ | ขนาด W74 D97 H97 cm,ฌ เฌอ | Recliner  ฟลามิงโก้ (Flamingo Recliner)   ผ้า A เลือกสีได้ | ขนาด W74 D97 H97 cm ราคา 47500 ลด 45% เหลือ 26125 ชำระเป็นเงินสด ลด on top เพิ่ม 10% เหลือ 23512.5 ภายใน เดือนกันยายน 2569 และส่วนลดเพิ่มเติมตามโปรฯ ได้ที่ https://chawcher.com/category/promotion/,ฌ เฌอ,Recliner,,ฟลามิงโก้,(Flamingo Recliner),,,ผ้า A ,เลือกสีได้,W74,D97,H97,cm,10502594,B 47500.00,45%,B 26125.00,10%,B 23512.50
ฌ เฌอ | Recliner  ฟลามิงโก้ (Flamingo Recliner)   ผ้า B เลือกสีได้ | ขนาด W74 D97 H97 cm,ฌ เฌอ | Recliner  ฟลามิงโก้ (Flamingo Recliner)   ผ้า B เลือกสีได้ | ขนาด W74 D97 H97 cm ราคา 52500 ลด 45% เหลือ 28875 ชำระเป็นเงินสด ลด on top เพิ่ม 10% เหลือ 25987.5 ภายใน เดือนกันยายน 2569 และส่วนลดเพิ่มเติมตามโปรฯ ได้ที่ https://chawcher.com/category/promotion/,ฌ เฌอ,Recliner,,ฟลามิงโก้,(Flamingo Recliner),,,ผ้า B ,เลือกสีได้,W74,D97,H97,cm,xxxxxxxx,B 52500.00,45%,B 28875.00,10%,B 25987.50
ฌ เฌอ | Recliner  ฟลามิงโก้ (Flamingo Recliner)   ผ้า C เลือกสีได้ | ขนาด W74 D97 H97 cm,ฌ เฌอ | Recliner  ฟลามิงโก้ (Flamingo Recliner)   ผ้า C เลือกสีได้ | ขนาด W74 D97 H97 cm ราคา 54700 ลด 30% เหลือ 38290 ชำระเป็นเงินสด ลด on top เพิ่ม 10% เหลือ 34461 ภายใน เดือนกันยายน 2569 และส่วนลดเพิ่มเติมตามโปรฯ ได้ที่ https://chawcher.com/category/promotion/,ฌ เฌอ,Recliner,,ฟลามิงโก้,(Flamingo Recliner),,,ผ้า C ,เลือกสีได้,W74,D97,H97,cm,xxxxxxxx,B 54700.00,30%,B 38290.00,10%,B 34461.00
ฌ เฌอ | Recliner  ฟลามิงโก้ (Flamingo Recliner)   หนังแท้ (ออย)เลือกสีได้ | ขนาด W74 D97 H97 cm,ฌ เฌอ | Recliner  ฟลามิงโก้ (Flamingo Recliner)   หนังแท้ (ออย)เลือกสีได้ | ขนาด W74 D97 H97 cm ราคา 73200 ลด 30% เหลือ 51240 ชำระเป็นเงินสด ลด on top เพิ่ม 10% เหลือ 46116 ภายใน เดือนกันยายน 2569 และส่วนลดเพิ่มเติมตามโปรฯ ได้ที่ https://chawcher.com/category/promotion/,ฌ เฌอ,Recliner,,ฟลามิงโก้,(Flamingo Recliner),,,หนังแท้ (ออย),เลือกสีได้,W74,D97,H97,cm,xxxxxxxx,B 73200.00,30%,B 51240.00,10%,B 46116.00
ฌ เฌอ | Recliner  ฟลามิงโก้ (Flamingo Recliner)   หนังแท้ / PVC เลือกสีได้ | ขนาด W74 D97 H97 cm,ฌ เฌอ | Recliner  ฟลามิงโก้ (Flamingo Recliner)   หนังแท้ / PVC เลือกสีได้ | ขนาด W74 D97 H97 cm ราคา 49000 ลด 30% เหลือ 34300 ชำระเป็นเงินสด ลด on top เพิ่ม 10% เหลือ 30870 ภายใน เดือนกันยายน 2569 และส่วนลดเพิ่มเติมตามโปรฯ ได้ที่ https://chawcher.com/category/promotion/,ฌ เฌอ,Recliner,,ฟลามิงโก้,(Flamingo Recliner),,,หนังแท้ / PVC ,เลือกสีได้,W74,D97,H97,cm,xxxxxxxx,B 49000.00,30%,B 34300.00,10%,B 30870.00
